Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-10-12 09:53:31,Running,,10.57,1:04:07,6:04,9.89,1000.22628696463,1117.79,,,2014-10-12-0953.gpx
2014-10-09 17:57:38,Running,,5.33,32:29,6:06,9.84,504.476735231897,27.53,,,2014-10-09-1757.gpx
2014-09-30 07:05:05,Running,,3.60,23:25,6:30,9.23,325.0,22.73,,,2014-09-30-0705.gpx
2014-09-27 09:36:29,Running,,10.25,1:04:45,6:19,9.50,891.0,38.27,,,2014-09-27-0936.gpx
2014-09-24 06:51:17,Running,,6.32,44:44,7:04,8.48,570.0,34.09,,,2014-09-24-0651.gpx
2014-09-22 07:41:11,Running,,4.91,31:28,6:24,9.36,452.0,28.74,,,2014-09-22-0741.gpx
2014-09-20 09:04:45,Running,,5.13,32:46,6:23,9.39,469.0,34.00,,,2014-09-20-0904.gpx
2014-09-17 17:41:17,Running,,6.76,47:00,6:57,8.63,625.0,33.97,,,2014-09-17-1741.gpx
2014-09-13 10:28:12,Running,,6.95,47:00,6:46,8.87,642.0,36.45,,,2014-09-13-1028.gpx
2014-08-21 06:53:52,Running,,5.37,35:58,6:42,8.96,506.0,39.82,,"Morning Run",2014-08-21-0653.gpx
2014-08-16 13:42:11,Cycling,,20.81,1:13:09,3:31,17.07,730.0,106.09,,"Afternoon Ride",2014-08-16-1342.gpx
2014-08-15 06:52:33,Running,,5.64,37:30,6:39,9.02,523.0,41.27,,"Morning Run",2014-08-15-0652.gpx
2014-08-07 06:39:42,Running,,5.14,37:00,7:12,8.33,481.0,39.70,,"Morning Run",2014-08-07-0639.gpx
2014-07-03 06:52:36,Running,,5.59,39:09,7:00,8.57,526.0,47.45,,"Morning Run",2014-07-03-0652.gpx
2014-07-01 06:51:03,Running,,5.27,34:13,6:30,9.24,489.0,38.42,,"Morning Run",2014-07-01-0651.gpx
